category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Extra,Development,,Sometimes we feel frustrated with our children because we expect them to behave in ways that they are not yet developmentally ready for.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,b785ba2a-55e1-4be5-886d-b3d220e4803b
Content,Extra,Development,,Learning about child development means we can have realistic expectations and also to spot any problems with their growth and development.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,2888e5c0-0acb-4c27-b6d1-4d386f5c5f59
Content,Extra,Development,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,3e724f9a-e95c-4be4-925e-fdab02537fb3
Content,Extra,Development,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,efe052bc-5a29-48d5-9a36-ade88be28c50
Content,Extra,Development,,All children develop at different rates. Here's a video to help you understand what to expect from your children.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,c7e8d0ba-b9c2-41a4-8b53-b614ba61712f
Content,Extra,Development,,All children develop at different rates. Here's an audio message to help you understand what to expect from your children.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,9bd7e44f-e881-4802-9a41-844d5911d1f0
Content,Extra,Development,,"That's okay! You can always type ""Help"" if you want to learn more about child development. ",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,0744fdb7-30f6-4094-ab0d-d2c47ca45718
Content,Extra,Development,,All children develop at different rates. But there are some things that we expect children to be able to do at an age. These are called ‘development’ milestones.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,d81f03e4-2c18-4d18-88ef-3f4d8bf811b8
Content,Extra,Development,,"If you are concerned that your child might be delayed in their development, here is a link to services in your area that may also be helpful: [INSERT LOCAL LINK]

You can also visit UNICEF's website for more helpful information about child development [INSERT LOCAL UNICEF LINK]
Chat to you later!",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,d296c5ca-531d-4a4f-800e-f573a1b3b7ef
Content,Extra,Development,,"Many things affect our children's development. For example, development is helped by eating healthy food, having immunisations, and parents or caregivers who talk to them a lot. ",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,e674c845-2e49-4948-b1e6-d7ae28eb8191
Content,Extra,Development,,Which child development milestones do you want to learn about?,Babies (0-2 years),Young children (2-9 years),Teens (10-17 years),,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,2467dbbf-ee3e-4644-9c92-58816c0aebf1
Content,Extra,Development,,Sorry I don't understand what you mean. ,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,66d3c572-ddc5-4775-bffa-ee20d8db6efe
Content,Extra,Development,,Young children have similar needs as toddlers.  Here's an audio message to help you understand your child's developmental needs better.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,b8af28f3-e419-4284-9d72-279c24154769
Content,Extra,Development,,The teen years are the second most active time of brain development for your child! Here's a video to help you understand how to support your child during this stage.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,8b7023cc-86c6-4b53-b4ed-8d75e67832dd
Content,Extra,Development,,The teen years are the second most active time of brain development for your child! Here's an audio message to help you understand how to support your child during this stage.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,813c6f4e-237d-4b30-a7b1-78a76d5d3f3d
Content,Extra,Development,,Babies from 0 to 1 year need lots of play and attention. Here's a video to help you understand your child's developmental needs better.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,d3b8a738-fa0f-4b8a-8a11-15f75dd07ed4
Content,Extra,Development,,Babies from 0 to 1 year need lots of play and attention. Here's an audio message to help you understand your child's developmental needs better.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,e6422501-9642-4ad7-bb1d-9c1f95ed0746
Content,Extra,Development,,Young children have similar needs as toddlers.  Here's a video to help you understand your child's developmental needs better.,,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,e6041428-99c9-4424-89b0-1edcc9a4106f
Content,Extra,Development,,"Young children (4-6 years):
• Same as toddlers, but also...
• Learn through actions and play.
• Develop friendships with other children
• Find it difficult to separate make-believe from reality. Still express feelings in dramatic ways!",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,6fdb0e1c-3ee2-4889-9595-bc689dae073d
Content,Extra,Development,,"Young teenagers (10-12 years)
• More interested in learning in school.
• Start to want independence and trust.
• Want to spend time with other children and young teenagers.
• May be interested in religion or spirituality",,,,,,,,,,,PLH - Content - Extra - Development,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,44f1b908-4580-4f39-8799-8ba195e9bd69
